id_post,data,text,likes,text_preprocessed
480545,1713384533,"ТЕЛЕГА: острополитическое
 
https://t.me/myfavoritejumoreski 
https://t.me/myfavoritejumoreski 
https://t.me/myfavoritejumoreski",117,телега острополитический https //t.me/myfavoritejumoreski https //t.me/myfavoritejumoreski https //t.me/myfavoritejumoreski
480648,1713543900,"- Павел
- Павел
- Доводилось ли вам бывать на воле? Павел
- Павел
- Вас зовут Павел? Павел
- Павел
- Когда вас не зовут, вы Павел? Павел
- Павел
- Что вы чувствуете держа за руку того, кого зовут Павел? Павел
- Павел
- Вас учили приставлять палец к Павлу? Павел
- Павел
- Вы жаждете связать с Павлом сердце? Павел
- Павел
- Вам снится связь с Павлом? Павел
- Павел
- Что вы чувствуете, держа в руках своего ребенка Павла? Павел
- Павел
- Вы чувствуете, что вам не хватает Павла? Павел
- Павел
- Зовут Павел
- Зовут Павел
- Повторите три раза ""зовут Павел""
- Зовут Павел. Зовут Павел. Зовут Павел
- На этом все. Павел стабилен, можете пройти за бонусом",63,павел павел доводиться бывать воля павел павел звать павел павел павел звать павел павел павел чувствовать держать рука кто звать павел павел павел учить приставлять палец павел павел павел жаждать связать павел сердце павел павел сниться связь павел павел павел чувствовать держать рука свой ребёнок павел павел павел чувствовать хватать павел павел павел звать павел звать павел повторить раз `` звать павел '' звать павел звать павел звать павел павел стабильный мочь пройти бонус
480645,1713536700,У гея оптимиста сракотан всегда наполовину полон,236,гей оптимист сракотан наполовину полный
480642,1713529500,"Изобрели новую ракету на квантовом двигателе. Посадили туда космонавта. Запустили. Только он взлетел, компьютер говорит: ""расстояние от Земли - 10 миллионов километров!""
Ну, космонавт, естественно, удивляется.
Через пару минут: ""расстояние от Земли -  100 миллионов километров!"" Космонавт испугался.
Через 5 минут: ""расстояние от Земли 10 миллиардов километров!"". Космонавт:
- О, Господи!...
И вдруг тихий, но внятный голос:
- Чё надо?",363,изобрести новый ракета квантовый двигатель посадить туда космонавт запустить взлететь компьютер говорить `` расстояние земля 10 миллион километр '' космонавт естественно удивляться пара минута `` расстояние земля 100 миллион километр '' космонавт испугаться 5 минута `` расстояние земля 10 миллиард километр '' космонавт господь ... тихий внятный голос что
480641,1713522300,"Владелец квартиры спрашивает у квартирантки:
- А почему в последнее время вас не посещает ваш брат?
- Этот пидор нашел себе другую сестру",475,владелец квартира спрашивать квартирантка почему последний время посещать ваш брат пидор найти другой сестра
480640,1713515100,"Приходит эффективный офисный менеджер среднего звена вечером домой весь в крови и без руки.
Жена спрашивает: 
- Что случилось, дорогой?
- На кулер намотало...",501,приходить эффективный офисный менеджер среднее звено вечером домой весь кровь рука жена спрашивать случиться дорога кулер намотать ...
480636,1713507900,"Медицинский осмотр в военкомате.
Военврач (капитан):
- Раздеться...
Все разделись, один не разделся.
Врач - сержанту:
- Проучить наглеца!
Сержант:
- Раздеться... Одеться... Раздеться .... Одеться... Понял, что надо?
Врач:
- Снять трусы...
Все сняли, один не снял.
Врач - сержанту:
- Проучить наглеца!
Сержант:
- Снять трусы... Одеть трусы... Снять трусы .... Одеть трусы... Понял, что надо???
Врач:
- Заголить головку...
Все заголили, один нет....
Врач сержанту:
- Проучить наглеца!!!
Сержант:
- Заголить..... Отставить.... Заголить.... Отставить...
Врач (вытирая щеку):
- Два наряда вне очереди...",433,медицинский осмотр военкомат военврач капитан раздеться ... разделиться раздеться врач сержант проучить наглеца сержант раздеться ... одеться ... раздеться .... одеться ... понять врач снять трус ... снять снять врач сержант проучить наглеца сержант снять трус ... одеть трус ... снять трус .... одеть трус ... понять врач заголить головка ... заголить .... врач сержант проучить наглеца сержант заголить ..... отставить .... заголить .... отставить ... врач вытирать щека наряд вне очередь ...
480634,1713500700,"В винно-водочный отдел магазина заходит монахиня и просит продать ей бутылку водки.
Продавец ошалело смотрит на нее.
Монахиня:
- Что вы так смотрите?
Продавец:
- Вы знаете, как-то неудобно продавать монахине бутылку водки!
- А так это не для меня, а для матушки настоятельницы - у нее запор.
После этих слов продавец спокойно продает ей бутылку.
После закрытия магазина, выходя на улицу, он видит в дым пьяную монахиню, сидящую на земле привалившись спиной к стене.
Продавец:
- Зачем вы меня обманули?! Вы сказали, что у матушки настоятельницы запор!
Монахиня:
- Ну, когда она увидит меня в таком виде - она обосрется!",383,винно-водочный отдел магазин заходить монахиня просить продать бутылка водка продавец ошалело смотреть монахиня смотреть продавец знать как-то неудобно продавать монахиня бутылка водка это матушка настоятельница запор этот слово продавец спокойно продавать бутылка закрытие магазин выходить улица видеть дым пьяный монахиня сидеть земля привалиться спина стена продавец обмануть сказать матушка настоятельница запор монахиня увидеть такой вид обосраться
480633,1713493500,"После недельной работы над микроскопом крупный ученый поднимает свои красные от усталости глаза и говорит коллегам:
- Господа, а вы не знаете антонима к слову ""эврика""?",498,недельный работа микроскоп крупный учёный поднимать свой красный усталость глаз говорить коллега господин знать антоним слово `` эврика ''
480630,1713486300,"Московская консерватория. Пятница. Вечер. Студенты давно разошлись. Небольшая старая аудитория. Запах натертого воском паркета. Притушенный свет. Профессор по классу виолончели наконец один и, закрыв глаза, что-то негромко играет. Тут входит уборщица Мария Петровна. Профессор узнал ее по шагам и, не открывая глаза, спрашивает:
- Ну, что тебе, Мария Петровна?
- Да вот, Никанор Афанасьевич, проблема у меня. Внучек, Егорка - ему
  семь лет, а уже онанизмом занимается...
- Ннн-да?..... Ну, где он? (продолжает играть на виолончели)
- Да вот он (из-за спины Марии Петровны выходит Егорка, неохотно, стесняясь, смотря в пол).
Профессор (открывая глаза, но продолжая играть):
- Ну что, Егорка, сколько тебе годков-то?
- Семь.
- Семь? И уже онанизмом занимаешься?
- Да, Никакор Афанасьевич, занимаюсь.
Профессор, опять закрывая, задумчиво:
- Оно и верно. Рано еще, ебстись-то.",439,московский консерватория пятница вечер студент давно разойтись небольшой старый аудитория запах натереть воск паркет притушить свет профессор класс виолончель закрыть глаз что-то негромко играть входить уборщица мария петрович профессор узнать шаг открывать глаз спрашивать ты мария петрович никанор афанасиевич проблема внучек егорка семь год онанизм заниматься ... ннн-да ..... продолжать играть виолончель из-за спина мария петрович выходить егорка неохотно стесняться смотреть пол профессор открывать глаз продолжать играть егорка сколько ты годок-то семь семь онанизм заниматься никакор афанасиевич заниматься профессор закрывать задумчиво оно верно рано ебститься-то
